content,score,sentiment
"Generally works great, except every time I open the app it opens on a blank white screen and I have to press the back button to arrive on the home screen. Super weird behaviour that I can't believe hasn't been fixed. Been happening for at least  months. Edit: even worse UX now... Impossible to find the Amazon fresh code without doing a search. Also I keep getting an ad for Prime when I open the app, despite already being a Prime member. Surely Amazon should be able to target these popups.",3,-1
Amazon Prime is absolutely amazing! Great products. Great prices. Shipped right to your door!,5,1
Hello I have change my phone number and since just can't connect to.my account . Plus tiping for something in particular and the apps keep showing me anything but not what I ask for .. try to reach customer service when you can't connect or make long distance calls should be easier to reach the customer services on line or by mail Need improvement,2,-1
Outstanding orders? Too difficult to find. Small upgrade to sort on outstanding orders and update marketplace orders that have been delivered would be hugely beneficial.,3,-1
"I like it alot, very easy, i love the variety of items to choose from.",4,1
"So far, I have been pleased with my Amazon experience. I had ordered a bathing suit and put it aside until I went on vacation. On vacation, I tried to put it on and couldn't get it much past my knees.It is a size XR. I needed and ordered a X. I have no idea how to return for either a credit or exchange. Help with this problem is needed. Thank you for your help.",4,1
"It's Amazon. Easy to use, easy to maintain. I use the mobile version more than the Desktop Version",5,1
"Feels sluggish, unresponsive at times, backstack doesn't work as expected. I shop on Amazon through my phone a lot and would like a fully native experience without webviews. Also should add feature to search text like Ctrl + F in browsers so I can easily find keywords in product's descriptions.",1,-1
The new update is terrible and not very user friendly. Please allow an option to hide or disable the Alexa icon on the bottom right; I keep accidentally tapping it while scrolling.,2,-1
"It's not terrible but it's time Amazon uses a native app rather than a web view, since the experience feels slow enough",3,-1
"Easy to find great deals, just always read descriptions before ordering so you don't get ripped off by shady sellers",5,1
Amazon smile. You can only turn on if your notification turned on. What is that all about. I don't need notification. Just let me donate and use the smaile service. If Amazon really cared about charity they shouldn't need me to turn on my notification to use Amazon smile. Tut tut.,1,-1
"I love Amazon! So easy, convinent and most times cheap.. There are so many varieties, you can always find what your looking.. I have been using it for years and will continue to do so. Prime makes the experience much better.",5,1
Who doesn't love Amazon?! This site offers the most wide range of deals and steals every day at any given time with fast shipping and amazing customer service when help is needed.. easy return process all around with options to credit account or refund to your pmt tender! So happy with being a faithful Amazon customer and Prime member,5,1
